,Age,ClubSince,ActiveInternational,FormerInternational,InternationalGames,Trending,Games,PointsPerGame,Cards,Minutes,TwCleanSheets,TwGoalsConceded,TwPenaltySavesQuote,Value,InternationalTeam_Argentinien,InternationalTeam_Belgien,InternationalTeam_Belgien U21,InternationalTeam_Bosnien,InternationalTeam_Deutschland,InternationalTeam_Deutschland U17,InternationalTeam_Deutschland U18,InternationalTeam_Deutschland U19,InternationalTeam_Deutschland U20,InternationalTeam_Deutschland U21,InternationalTeam_Dänemark,InternationalTeam_England,InternationalTeam_England U20,InternationalTeam_England U21,InternationalTeam_Frankreich,InternationalTeam_Frankreich U20,InternationalTeam_Frankreich U21,InternationalTeam_Griechenland,InternationalTeam_Griechenland U21,InternationalTeam_Italien,InternationalTeam_Italien U19,InternationalTeam_Italien U21,InternationalTeam_Kroatien,InternationalTeam_Kroatien U21,InternationalTeam_Niederlande,InternationalTeam_Norwegen,InternationalTeam_Polen,InternationalTeam_Polen U21,InternationalTeam_Portugal,InternationalTeam_Portugal U19,InternationalTeam_Portugal U21,InternationalTeam_Rumänien,InternationalTeam_Rumänien U21,InternationalTeam_Russland,InternationalTeam_Russland U21,InternationalTeam_Schottland,InternationalTeam_Schweden,InternationalTeam_Schweden U21,InternationalTeam_Schweiz,InternationalTeam_Schweiz U20,InternationalTeam_Schweiz U21,InternationalTeam_Senegal,InternationalTeam_Serbien,InternationalTeam_Serbien U21,InternationalTeam_Slowakei,InternationalTeam_Spanien,InternationalTeam_Spanien U21,InternationalTeam_Tschechien,InternationalTeam_Tschechien U21,InternationalTeam_Türkei U21,InternationalTeam_Türkei U23,InternationalTeam_Ukraine,InternationalTeam_Ukraine U21,InternationalTeam_other,InternationalTeam_Österreich,InternationalTeam_Österreich U19,InternationalTeam_Österreich U21,League_1.Division,League_1.Lig,League_2. Bundesliga,League_2. Liga,League_3. Liga,League_Allsvenskan,League_Bundesliga,League_Challenge League,League_Challenger Pro League,League_Championship,League_Ekstraklasa,League_Eliteserien,League_Fortuna Liga,League_Jupiler Pro League,League_LaLiga,League_LaLiga2,League_League One,League_Liga Portugal,League_Liga Sabseg,League_Ligue 1,League_Ligue 2,League_Premier League,League_Premier Liga,League_Premiership,League_Promotion League,League_Serie A,League_Serie B,League_Super League,League_Super League 1,League_Super League 2,League_Super liga Srbije,League_SuperLiga,League_SuperSport HNL,League_Superligaen,League_other,Club_other,LeagueCountry_Belgien,LeagueCountry_Deutschland,LeagueCountry_Dänemark,LeagueCountry_England,LeagueCountry_Frankreich,LeagueCountry_Griechenland,LeagueCountry_Italien,LeagueCountry_Kroatien,LeagueCountry_Norwegen,LeagueCountry_Polen,LeagueCountry_Portugal,LeagueCountry_Rumänien,LeagueCountry_Russland,LeagueCountry_Schottland,LeagueCountry_Schweden,LeagueCountry_Schweiz,LeagueCountry_Serbien,LeagueCountry_Spanien,LeagueCountry_Tschechien,LeagueCountry_Türkei,LeagueCountry_Ukraine,LeagueCountry_Österreich,NationalLeagueLevel_1.Liga,NationalLeagueLevel_2.Liga,NationalLeagueLevel_3.Liga,NationalLeagueLevel_other
257,23.0,685.0,0,0,0.0,1,6.0,0.83,0.0,464.0,1.0,11.0,0.0,300000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
280,29.0,3972.0,0,1,0.0,0,25.0,1.96,2.0,2227.0,6.0,26.0,0.0,300000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
281,30.0,320.0,0,1,3.0,0,6.0,1.0,1.0,473.0,1.0,9.0,0.0,300000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
304,23.0,1781.0,0,1,1.0,1,7.0,1.29,1.0,630.0,1.0,10.0,0.0,350000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
305,27.0,261.0,0,1,2.0,0,16.0,1.75,0.0,1440.0,3.0,20.0,67.0,300000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
306,30.0,1416.0,0,1,2.0,0,7.0,1.29,1.0,630.0,1.0,11.0,0.0,150000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
332,30.0,986.0,0,0,0.0,0,18.0,1.94,2.0,1620.0,6.0,22.0,0.0,150000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
333,22.0,777.0,0,1,1.0,1,12.0,0.75,1.0,1080.0,2.0,25.0,0.0,150000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
359,25.0,685.0,0,1,0.0,0,30.0,1.5,2.0,2700.0,7.0,54.0,25.0,450000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
384,33.0,1781.0,1,0,53.0,0,29.0,1.07,2.0,2610.0,6.0,44.0,50.0,200000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
385,24.0,1416.0,1,0,1.0,1,1.0,0.0,0.0,90.0,0.0,3.0,0.0,100000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
