league_country;scraping_time;link;no;name;league;club;league_level;market_value;market_value_currency;market_value_latest_correction;highest_market_value;highest_market_value_date;age;height;nationality;position;foot;consultancy;supplier;club_since;contract_until;international;international_active;former_international;international_games;international_goals;starting_eleven_quote;minutes_quote;penalty_saves_quote;goal_participation_quote;instagram;injury;goals_conceded;clean_sheets;games;points_per_game;goals;assists;own_goals;ins;outs;yellow_cards;yellow_red_cards;red_cards;penalty_goals;minutes_per_goal;minutes
Türkei;20230425190958;https://www.transfermarkt.ch/jakub-szumski/profil/spieler/157848;29;Jakub Szumski;1.Lig;Samsunspor;2.Liga;300 Tsd. €Letzte Änderung: 03.04.2023;Tsd. €;Letzte Änderung: 03.04.2023;400 Tsd. €;21.05.2021;31;1,94 m;Polen;Torwart;rechts;Familienangehörige;;01.07.2022;30.06.2024;;;Polen U21;10;0;94;94;13;;http://www.instagram.com/szumskikuba/;0;24;13;32;2,16;-;;-;-;-;2;-;-;;;2.880'
Türkei;20230425191015;https://www.transfermarkt.ch/aykut-ozer/profil/spieler/117518;1;Aykut Özer;1.Lig;Samsunspor;2.Liga;100 Tsd. €Letzte Änderung: 03.04.2023;Tsd. €;Letzte Änderung: 03.04.2023;525 Tsd. €;16.03.2021;30;1,87 m;Türkei;Torwart;rechts;Familienangehörige;;14.07.2021;30.06.2024;;;Türkei U21;6;0;0;0;0;;http://www.instagram.com/aykutozer.93/;0;-;-;-;-;-;;-;-;-;-;-;-;;;-
Türkei;20230425191038;https://www.transfermarkt.ch/halil-yeral/profil/spieler/511119;45;Halil Yeral;1.Lig;Samsunspor;2.Liga;25 Tsd. €Letzte Änderung: 03.04.2023;Tsd. €;Letzte Änderung: 03.04.2023;75 Tsd. €;27.05.2021;23;1,90 m;Türkei;Torwart;rechts;Öner Karalar;;26.01.2023;30.06.2025;;;Türkei U21;0;0;;;;;http://www.instagram.com/halilyeral_/;0;;;;;;;;;;;;;;;
Türkei;20230425191053;https://www.transfermarkt.ch/ali-taha-demir/profil/spieler/924333;52;Ali Taha Demir;1.Lig;Samsunspor;2.Liga;25 Tsd. €Letzte Änderung: 03.04.2023;Tsd. €;Letzte Änderung: 03.04.2023;25 Tsd. €;15.11.2022;18;2,00 m;Türkei;Torwart;rechts;;;01.07.2022;30.06.2024;;;;;;0;0;0;;http://www.instagram.com/alitahademirr/;0;-;-;-;-;-;;-;-;-;-;-;-;;;-
Türkei;20230425191119;https://www.transfermarkt.ch/yunus-emre-cift/profil/spieler/821622;22;Yunus Emre Cift;1.Lig;Samsunspor;2.Liga;750 Tsd. €Letzte Änderung: 03.04.2023;Tsd. €;Letzte Änderung: 03.04.2023;750 Tsd. €;03.04.2023;19;1,85 m;Türkei;Innenverteidiger;rechts;;;23.01.2021;30.06.2027;Türkei U21;;;1;0;62;65;;1;http://instagram.com/yunusemrecift;0;;;25;2,36;1;-;-;4;1;4;-;-;-;1.985';1.985'
Türkei;20230425191143;https://www.transfermarkt.ch/alim-ozturk/profil/spieler/189186;5;Alim Öztürk;1.Lig;Samsunspor;2.Liga;400 Tsd. €Letzte Änderung: 03.04.2023;Tsd. €;Letzte Änderung: 03.04.2023;500 Tsd. €;17.03.2022;30;1,91 m;Türkei;Innenverteidiger;rechts;;;01.07.2022;30.06.2024;;;Türkei U21;4;0;88;85;;4;http://www.instagram.com/alimozturk5/;0;;;30;2,27;3;-;1;-;2;7;-;1;-;864';2.592'
Türkei;20230425191221;https://www.transfermarkt.ch/yusuf-abdioglu/profil/spieler/199938;55;Yusuf Abdioglu;1.Lig;Samsunspor;2.Liga;300 Tsd. €Letzte Änderung: 03.04.2023;Tsd. €;Letzte Änderung: 03.04.2023;650 Tsd. €;12.10.2020;33;1,81 m;Türkei;Innenverteidiger;rechts;B&B Sports Management;;01.07.2022;30.06.2024;;;;;;41;41;;4;http://www.instagram.com/abdiogluyusuf/;0;;;19;2,05;2;1;-;5;4;4;-;1;-;627';1.253'
Türkei;20230425191305;https://www.transfermarkt.ch/elano-yegen/profil/spieler/811114;3;Elano Yegen;1.Lig;Samsunspor;2.Liga;125 Tsd. €Letzte Änderung: 03.04.2023;Tsd. €;Letzte Änderung: 03.04.2023;125 Tsd. €;23.06.2022;20;1,91 m;Niederlande;Innenverteidiger;beidfüßig;Iconics Management;;01.02.2023;30.06.2026;;;;;;0;0;;0;http://www.instagram.com/elanoyegen/;0;;;-;-;-;-;-;-;-;-;-;-;-;-;-
Türkei;20230425191335;https://www.transfermarkt.ch/guy-serge-yameogo/profil/spieler/568436;;Guy Serge Yameogo;1.Lig;Samsunspor;2.Liga;100 Tsd. €Letzte Änderung: 03.04.2023;Tsd. €;Letzte Änderung: 03.04.2023;300 Tsd. €;30.12.2020;22;1,84 m;Elfenbeinküste;Innenverteidiger;rechts;CSM Sport & Entertainment;;19.08.2020;30.06.2025;;;;;;0;3;;0;http://www.instagram.com/guyserge24/;0;;;1;0,00;-;-;-;1;-;-;-;-;-;-;44'
Türkei;20230425191404;https://www.transfermarkt.ch/berk-taskin/profil/spieler/354264;4;Berk Taskin;1.Lig;Samsunspor;2.Liga;100 Tsd. €Letzte Änderung: 03.04.2023;Tsd. €;Letzte Änderung: 03.04.2023;200 Tsd. €;15.11.2022;25;1,85 m;Türkei;Innenverteidiger;rechts;;;11.08.2021;30.06.2025;;;;;;0;1;;0;http://instagram.com/berktaskinn_/;0;;;3;2,33;-;-;-;3;-;-;-;-;-;-;26'
