league_country,scraping_time,link,no,name,league,club,league_level,age,height,nationality,position,foot,consultancy,supplier,club_since,contract_until,international,former_international,international_games,international_goals,market_value,market_value_currency,market_value_latest_correction,highest_market_value,highest_market_value_date,starting_eleven_quote,minutes_quote,penalty_saves_quote,goal_participation_quote,instagram,injury,goals_conceded,clean_sheets,games,points_per_game,goals,assists,own_goals,ins,outs,yellow_cards,yellow_red_cards,red_cards,penalty_goals,minutes_per_goal,minutes
Österreich,20230420225137,https://www.transfermarkt.ch/jonas-krumrey/profil/spieler/531637,41,Jonas Krumrey,Bundesliga,RB Salzburg,1.Liga,19,"1,93 m",Deutschland,Torwart,rechts,Familienangehörige,Nike,01.01.2023,31.05.2024,,Deutschland U16,0,0,300 Tsd. €Letzte Änderung: 17.11.2022,Tsd. €,Letzte Änderung: 17.11.2022,300 Tsd. €,01.12.2021,,,,,,,,,,,,,,,,,,,,,
Österreich,20230420225153,https://www.transfermarkt.ch/balazs-toth/profil/spieler/648900,32,Balázs Tóth,2. Liga,FC Liefering,2.Liga,18,"1,87 m",Ungarn,Torwart,links,Perfootmance GmbH,,01.07.2021,30.06.2024,Ungarn U19,,0,0,125 Tsd. €Letzte Änderung: 17.11.2022,Tsd. €,Letzte Änderung: 17.11.2022,125 Tsd. €,17.11.2022,9,9,0,,,,5,-,2,"1,50",-,,-,-,-,-,-,-,,,180'
Österreich,20230420225207,https://www.transfermarkt.ch/salko-hamzic/profil/spieler/948133,30,Salko Hamzic,2. Liga,FC Liefering,2.Liga,16,,Bosnien-Herzegowina,Torwart,,,,01.01.2023,-,,,,,75 Tsd. €Letzte Änderung: 10.01.2023,Tsd. €,Letzte Änderung: 10.01.2023,75 Tsd. €,10.01.2023,,,,,,,,,,,,,,,,,,,,,
Österreich,20230420225237,https://www.transfermarkt.ch/valentin-oelz/profil/spieler/694561,31,Valentin Oelz,2. Liga,FC Liefering,2.Liga,17,"1,92 m",Österreich,Torwart,,Berater bekannt - Spieler unter 18,,01.07.2022,-,Österreich U18,,3,0,75 Tsd. €Letzte Änderung: 17.11.2022,Tsd. €,Letzte Änderung: 17.11.2022,75 Tsd. €,02.07.2022,0,0,0,,,,-,-,-,-,-,,-,-,-,-,-,-,,,-
Österreich,20230420225258,https://www.transfermarkt.ch/samson-baidoo/profil/spieler/655217,6,Samson Baidoo,Bundesliga,RB Salzburg,1.Liga,19,"1,87 m",Österreich,Innenverteidiger,rechts,HAGMAYR Sportmanagement,,01.07.2022,30.06.2027,Österreich U21,,4,0,"1,00 Mio. €Letzte Änderung: 10.11.2022",Mio. €,Letzte Änderung: 10.11.2022,"1,00 Mio. €",10.11.2022,0,0,,0,,,,,1,"3,00",-,-,-,1,-,-,-,-,-,-,3'
Österreich,20230420225318,https://www.transfermarkt.ch/lukas-wallner/profil/spieler/548026,4,Lukas Wallner,2. Liga,FC Liefering,2.Liga,19,,Österreich,Innenverteidiger,links,More than Sport GmbH,,01.08.2020,30.06.2025,Österreich U21,,2,0,500 Tsd. €Letzte Änderung: 17.11.2022,Tsd. €,Letzte Änderung: 17.11.2022,500 Tsd. €,25.05.2022,52,56,,5,,,,,16,"1,50",-,2,-,4,2,2,-,-,-,-,1.150'
Österreich,20230420225334,https://www.transfermarkt.ch/marcel-moswitzer/profil/spieler/804031,19,Marcel Moswitzer,2. Liga,FC Liefering,2.Liga,18,,Österreich,Innenverteidiger,,Soccertalk GmbH,,01.07.2022,-,Österreich U18,,6,1,300 Tsd. €Letzte Änderung: 17.11.2022,Tsd. €,Letzte Änderung: 17.11.2022,300 Tsd. €,20.09.2022,43,45,,2,,,,,15,"0,93",1,-,-,5,3,3,-,-,-,930',930'
Österreich,20230420225356,https://www.transfermarkt.ch/rocco-zikovic/profil/spieler/853084,51,Rocco Zikovic,2. Liga,FC Liefering,2.Liga,18,"1,86 m",Kroatien,Innenverteidiger,rechts,VPA Sports,,01.01.2023,30.06.2027,,Kroatien U19,0,0,300 Tsd. €Letzte Änderung: 10.01.2023,Tsd. €,Letzte Änderung: 10.01.2023,300 Tsd. €,10.01.2023,0,8,,0,,,,,2,"0,00",-,-,-,2,-,-,-,-,-,-,75'
Österreich,20230420225415,https://www.transfermarkt.ch/douglas-mendes/profil/spieler/921863,14,Douglas Mendes,2. Liga,FC Liefering,2.Liga,18,"1,89 m",Brasilien,Innenverteidiger,rechts,Ruan Casemiro,,06.02.2023,30.06.2023,Brasilien U20,,0,0,200 Tsd. €Letzte Änderung: 14.11.2022,Tsd. €,Letzte Änderung: 14.11.2022,200 Tsd. €,05.08.2022,0,0,,0,,,,,1,"0,00",-,-,-,1,-,-,-,-,-,-,-
Österreich,20230420225431,https://www.transfermarkt.ch/konstantin-gertig/profil/spieler/604356,15,Konstantin Gertig,2. Liga,FC Liefering,2.Liga,19,"1,86 m",Deutschland,Innenverteidiger,links,SPOCS Global Sports,,01.07.2022,-,,,,,75 Tsd. €Letzte Änderung: 17.11.2022,Tsd. €,Letzte Änderung: 17.11.2022,75 Tsd. €,02.07.2022,4,4,,0,,,,,1,"0,00",-,-,-,-,-,-,-,-,-,-,90'
Österreich,20230420225454,https://www.transfermarkt.ch/lukas-ibertsberger/profil/spieler/531640,26,Lukas Ibertsberger,2. Liga,FC Liefering,2.Liga,19,,Österreich,Linker Verteidiger,links,More than Sport GmbH,,01.01.2021,30.06.2025,Österreich U21,,2,0,250 Tsd. €Letzte Änderung: 17.11.2022,Tsd. €,Letzte Änderung: 17.11.2022,250 Tsd. €,17.11.2022,65,63,,2,,,,,18,"1,56",-,1,-,3,5,3,-,-,-,-,1.308'
Österreich,20230420225511,https://www.transfermarkt.ch/mario-pejazic/profil/spieler/724062,20,Mario Pejazic,2. Liga,FC Liefering,2.Liga,18,,Österreich,Linker Verteidiger,links,,,01.07.2022,-,Österreich U19,,1,0,200 Tsd. €Letzte Änderung: 17.11.2022,Tsd. €,Letzte Änderung: 17.11.2022,200 Tsd. €,20.09.2022,35,38,,2,,,,,13,"1,46",-,1,-,5,2,1,-,-,-,-,794'
Österreich,20230420225535,https://www.transfermarkt.ch/benjamin-atiabou/profil/spieler/655215,27,Benjamin Atiabou,2. Liga,FC Liefering,2.Liga,19,"1,78 m",Österreich,Rechter Verteidiger,rechts,CAA Base Ltd,,01.07.2021,-,,Österreich U18,8,0,250 Tsd. €Letzte Änderung: 17.11.2022,Tsd. €,Letzte Änderung: 17.11.2022,250 Tsd. €,25.05.2022,26,26,,2,,KreuzbandrissRückkehr unbekannt,,,6,"1,33",1,-,-,-,2,2,-,-,-,529',529'
Österreich,20230420225549,https://www.transfermarkt.ch/dario-bijelic/profil/spieler/678349,24,Dario Bijelic,2. Liga,FC Liefering,2.Liga,18,"1,77 m",Kroatien,Rechter Verteidiger,rechts,,,01.07.2022,30.06.2023,Kroatien U18,,6,0,150 Tsd. €Letzte Änderung: 17.11.2022,Tsd. €,Letzte Änderung: 17.11.2022,150 Tsd. €,23.07.2022,9,10,,0,,,,,6,"2,17",-,-,-,4,2,-,-,-,-,-,201'
Österreich,20230420225612,https://www.transfermarkt.ch/mark-gevorgyan/profil/spieler/692472,44,Mark Gevorgyan,2. Liga,FC Liefering,2.Liga,17,,Deutschland,Rechter Verteidiger,rechts,Berater bekannt - Spieler unter 18,,01.07.2022,-,,Deutschland U17,5,0,150 Tsd. €Letzte Änderung: 17.11.2022,Tsd. €,Letzte Änderung: 17.11.2022,150 Tsd. €,17.11.2022,57,53,,5,,,,,14,"0,93",1,1,-,1,4,5,-,-,-,1.098',1.098'
Österreich,20230420225634,https://www.transfermarkt.ch/daniel-klicnik/profil/spieler/527584,18,Daniel Klicnik,2. Liga,FC Liefering,2.Liga,19,"1,78 m",Österreich,Rechter Verteidiger,rechts,MLG Sports Consulting,adidas,01.07.2021,30.06.2023,,Österreich U16,6,0,75 Tsd. €Letzte Änderung: 17.11.2022,Tsd. €,Letzte Änderung: 17.11.2022,125 Tsd. €,25.05.2022,,,,,,PatellasehnenrissRückkehr unbekannt,,,,,,,,,,,,,,,
Österreich,20230420225648,https://www.transfermarkt.ch/soumaila-diabate/profil/spieler/1089004,10,Soumaila Diabate,2. Liga,FC Liefering,2.Liga,18,"1,68 m",Mali,Defensives Mittelfeld,,BLACKSKILL,,02.01.2023,30.06.2027,,,,,250 Tsd. €Letzte Änderung: 02.01.2023,Tsd. €,Letzte Änderung: 02.01.2023,250 Tsd. €,02.01.2023,29,32,,0,,,,,,,,,,,,,,,,,
Österreich,20230420225713,https://www.transfermarkt.ch/lawrence-agyekum/profil/spieler/733410,35,Lawrence Agyekum,Bundesliga,RB Salzburg,1.Liga,19,"1,74 m",Ghana,Zentrales Mittelfeld,rechts,Kick&Run,,07.02.2022,30.06.2026,,,,,"1,00 Mio. €Letzte Änderung: 17.11.2022",Mio. €,Letzte Änderung: 17.11.2022,"1,00 Mio. €",17.11.2022,15,17,,0,,,,,3,"2,33",-,-,-,1,2,1,-,-,-,-,197'
Österreich,20230420225736,https://www.transfermarkt.ch/justin-omoregie/profil/spieler/581880,36,Justin Omoregie,Bundesliga,RB Salzburg,1.Liga,19,"1,91 m",Österreich,Zentrales Mittelfeld,links,MLG Sports Consulting,adidas,01.07.2022,30.06.2027,Österreich U19,,10,0,800 Tsd. €Letzte Änderung: 10.11.2022,Tsd. €,Letzte Änderung: 10.11.2022,800 Tsd. €,25.05.2022,,,,,,RückenproblemeRückkehr unbekannt,,,,,,,,,,,,,,,
Österreich,20230420225747,https://www.transfermarkt.ch/tolgahan-sahin/profil/spieler/629037,22,Tolgahan Sahin,2. Liga,FC Liefering,2.Liga,18,,Österreich,Zentrales Mittelfeld,rechts,HAGMAYR Sportmanagement,Puma,01.07.2021,-,Österreich U19,,2,0,300 Tsd. €Letzte Änderung: 17.11.2022,Tsd. €,Letzte Änderung: 17.11.2022,300 Tsd. €,01.12.2021,61,59,,2,,,,,19,"1,21",-,1,-,5,7,1,-,-,-,-,1.216'
Österreich,20230420225805,https://www.transfermarkt.ch/raphael-hofer/profil/spieler/603953,8,Raphael Hofer,2. Liga,FC Liefering,2.Liga,20,,Österreich,Zentrales Mittelfeld,,More than Sport GmbH,,01.07.2021,30.06.2026,,,,,250 Tsd. €Letzte Änderung: 17.11.2022,Tsd. €,Letzte Änderung: 17.11.2022,250 Tsd. €,17.11.2022,70,68,,15,,,,,21,"1,29",3,3,-,5,11,3,-,-,-,468',1.404'
