league_country;scraping_time;link;no;name;league;club;league_level;market_value;market_value_currency;market_value_latest_correction;highest_market_value;highest_market_value_date;age;height;nationality;position;foot;consultancy;supplier;club_since;contract_until;international;international_active;former_international;international_games;international_goals;starting_eleven_quote;minutes_quote;penalty_saves_quote;goal_participation_quote;instagram;injury;goals_conceded;clean_sheets;games;points_per_game;goals;assists;own_goals;ins;outs;yellow_cards;yellow_red_cards;red_cards;penalty_goals;minutes_per_goal;minutes
Österreich;20230422140629;https://www.transfermarkt.ch/jonas-krumrey/profil/spieler/531637;41;Jonas Krumrey;Bundesliga;RB Salzburg;1.Liga;300 Tsd. €Letzte Änderung: 17.11.2022;Tsd. €;Letzte Änderung: 17.11.2022;300 Tsd. €;01.12.2021;19;1,93 m;Deutschland;Torwart;rechts;Familienangehörige;Nike;01.01.2023;31.05.2024;;;Deutschland U16;0;0;;;;;;0;;;;;;;;;;;;;;;
Österreich;20230422140644;https://www.transfermarkt.ch/balazs-toth/profil/spieler/648900;32;Balázs Tóth;2. Liga;FC Liefering;2.Liga;125 Tsd. €Letzte Änderung: 17.11.2022;Tsd. €;Letzte Änderung: 17.11.2022;125 Tsd. €;17.11.2022;18;1,87 m;Ungarn;Torwart;links;Perfootmance GmbH;;01.07.2021;30.06.2024;Ungarn U19;;;0;0;8;8;0;;;0;5;-;2;1,50;-;;-;-;-;-;-;-;;;180'
Österreich;20230422140702;https://www.transfermarkt.ch/salko-hamzic/profil/spieler/948133;30;Salko Hamzic;2. Liga;FC Liefering;2.Liga;75 Tsd. €Letzte Änderung: 10.01.2023;Tsd. €;Letzte Änderung: 10.01.2023;75 Tsd. €;10.01.2023;16;;Bosnien-Herzegowina;Torwart;;;;01.01.2023;-;;;;;;;;;;;0;;;;;;;;;;;;;;;
Österreich;20230422140732;https://www.transfermarkt.ch/valentin-oelz/profil/spieler/694561;31;Valentin Oelz;2. Liga;FC Liefering;2.Liga;75 Tsd. €Letzte Änderung: 17.11.2022;Tsd. €;Letzte Änderung: 17.11.2022;75 Tsd. €;02.07.2022;17;1,92 m;Österreich;Torwart;;Berater bekannt - Spieler unter 18;;01.07.2022;-;;Österreich U18;;3;0;0;0;0;;;0;-;-;-;-;-;;-;-;-;-;-;-;;;-
Österreich;20230422140749;https://www.transfermarkt.ch/samson-baidoo/profil/spieler/655217;6;Samson Baidoo;Bundesliga;RB Salzburg;1.Liga;1,00 Mio. €Letzte Änderung: 10.11.2022;Mio. €;Letzte Änderung: 10.11.2022;1,00 Mio. €;10.11.2022;19;1,87 m;Österreich;Innenverteidiger;rechts;HAGMAYR Sportmanagement;;01.07.2022;30.06.2027;;Österreich U21;;4;0;0;0;;0;;0;;;1;3,00;-;-;-;1;-;-;-;-;-;-;3'
Österreich;20230422140810;https://www.transfermarkt.ch/lukas-wallner/profil/spieler/548026;4;Lukas Wallner;2. Liga;FC Liefering;2.Liga;500 Tsd. €Letzte Änderung: 17.11.2022;Tsd. €;Letzte Änderung: 17.11.2022;500 Tsd. €;25.05.2022;19;;Österreich;Innenverteidiger;links;More than Sport GmbH;;01.08.2020;30.06.2025;Österreich U21;;;2;0;54;57;;5;;0;;;17;1,41;-;2;-;4;3;3;-;-;-;-;1.240'
Österreich;20230422140833;https://www.transfermarkt.ch/marcel-moswitzer/profil/spieler/804031;19;Marcel Moswitzer;2. Liga;FC Liefering;2.Liga;300 Tsd. €Letzte Änderung: 17.11.2022;Tsd. €;Letzte Änderung: 17.11.2022;300 Tsd. €;20.09.2022;18;;Österreich;Innenverteidiger;;Soccertalk GmbH;;01.07.2022;-;;Österreich U18;;6;1;42;43;;2;;0;;;15;0,93;1;-;-;5;3;3;-;-;-;930';930'
Österreich;20230422140855;https://www.transfermarkt.ch/rocco-zikovic/profil/spieler/853084;51;Rocco Zikovic;2. Liga;FC Liefering;2.Liga;300 Tsd. €Letzte Änderung: 10.01.2023;Tsd. €;Letzte Änderung: 10.01.2023;300 Tsd. €;10.01.2023;18;1,86 m;Kroatien;Innenverteidiger;rechts;VPA Sports;;01.01.2023;30.06.2027;;;Kroatien U19;0;0;0;8;;0;;0;;;3;0,00;-;-;-;3;-;-;-;-;-;-;75'
Österreich;20230422140914;https://www.transfermarkt.ch/douglas-mendes/profil/spieler/921863;14;Douglas Mendes;2. Liga;FC Liefering;2.Liga;200 Tsd. €Letzte Änderung: 14.11.2022;Tsd. €;Letzte Änderung: 14.11.2022;200 Tsd. €;05.08.2022;18;1,89 m;Brasilien;Innenverteidiger;rechts;Ruan Casemiro;;06.02.2023;30.06.2023;Brasilien U20;;;0;0;13;13;;0;;0;;;2;0,00;-;-;-;1;1;1;-;-;-;-;90'
