league_country;scraping_time;link;no;name;league;club;league_level;market_value;market_value_currency;market_value_latest_correction;highest_market_value;highest_market_value_date;age;height;nationality;position;foot;consultancy;supplier;club_since;contract_until;international;international_active;former_international;international_games;international_goals;starting_eleven_quote;minutes_quote;penalty_saves_quote;goal_participation_quote;instagram;injury;goals_conceded;clean_sheets;games;points_per_game;goals;assists;own_goals;ins;outs;yellow_cards;yellow_red_cards;red_cards;penalty_goals;minutes_per_goal;minutes
Schweiz;20230422140628;https://www.transfermarkt.ch/david-von-ballmoos/profil/spieler/203124;26;David von Ballmoos;Super League;BSC Young Boys;1.Liga;2,50 Mio. €Letzte Änderung: 10.11.2022;Mio. €;Letzte Änderung: 10.11.2022;3,50 Mio. €;07.10.2019;28;1,92 m;Schweiz;Torwart;rechts;Giallanza Sport;adidas;01.07.2013;30.06.2025;Schweiz;;;0;0;54;53;50;;http://www.instagram.com/davidvonballmoos/;1;9;7;15;2,13;-;;-;-;1;-;-;-;;;1.324'
Schweiz;20230422140639;https://www.transfermarkt.ch/anthony-racioppi/profil/spieler/395671;1;Anthony Racioppi;Super League;BSC Young Boys;1.Liga;1,30 Mio. €Letzte Änderung: 28.03.2023;Mio. €;Letzte Änderung: 28.03.2023;2,00 Mio. €;07.01.2021;24;1,88 m;Schweiz;Torwart;rechts;Guanabara Esportes SA;;10.01.2022;30.06.2025;;;Schweiz U21;13;0;46;47;0;;http://www.instagram.com/racioppi_anthony/;0;11;5;14;1,93;-;;-;1;-;-;-;-;;;1.196'
Schweiz;20230422140658;https://www.transfermarkt.ch/marvin-keller/profil/spieler/500763;33;Marvin Keller;Super League;BSC Young Boys;1.Liga;500 Tsd. €Letzte Änderung: 29.12.2022;Tsd. €;Letzte Änderung: 29.12.2022;500 Tsd. €;29.12.2022;20;1,90 m;Schweiz;Torwart;;IFM;;13.02.2023;30.06.2027;;Schweiz U21;;2;0;0;0;0;;;0;-;-;-;-;-;;-;-;-;-;-;-;;;-
Schweiz;20230422140717;https://www.transfermarkt.ch/dario-marzino/profil/spieler/254968;40;Dario Marzino;Super League;BSC Young Boys;1.Liga;100 Tsd. €Letzte Änderung: 28.03.2023;Tsd. €;Letzte Änderung: 28.03.2023;300 Tsd. €;21.04.2021;26;1,84 m;Schweiz;Torwart;rechts;Front Group GmbH;;08.07.2022;30.06.2023;;;Schweiz U21;0;0;0;0;0;;;0;-;-;-;-;-;;-;-;-;-;-;-;;;-
Schweiz;20230422140736;https://www.transfermarkt.ch/leandro-zbinden/profil/spieler/507524;61;Leandro Zbinden;Super League;BSC Young Boys;1.Liga;100 Tsd. €Letzte Änderung: 10.11.2022;Tsd. €;Letzte Änderung: 10.11.2022;100 Tsd. €;04.10.2021;20;1,89 m;Schweiz;Torwart;;Soccer Mondial AG;;01.07.2021;30.06.2023;;;Schweiz U15;1;0;;;;;;1;;;;;;;;;;;;;;;
Schweiz;20230422140751;https://www.transfermarkt.ch/mohamed-camara/profil/spieler/426723;13;Mohamed Camara;Super League;BSC Young Boys;1.Liga;5,00 Mio. €Letzte Änderung: 28.03.2023;Mio. €;Letzte Änderung: 28.03.2023;5,00 Mio. €;28.03.2023;25;1,91 m;Guinea;Innenverteidiger;rechts;CAA Stellar;;06.07.2018;30.06.2024;;Guinea;;19;0;39;38;;0;http://www.instagram.com/camara_mhdali4/;1;;;11;2,36;-;-;-;-;1;2;-;-;-;-;956'
Schweiz;20230422140803;https://www.transfermarkt.ch/cedric-zesiger/profil/spieler/382478;5;Cédric Zesiger;Super League;BSC Young Boys;1.Liga;4,00 Mio. €Letzte Änderung: 28.03.2023;Mio. €;Letzte Änderung: 28.03.2023;4,00 Mio. €;28.03.2023;24;1,94 m;Schweiz;Innenverteidiger;links;IFM;adidas;01.07.2019;30.06.2025;;Schweiz;;2;0;86;84;;3;http://www.instagram.com/zesiger5/;0;;;24;2,00;2;-;-;-;1;8;1;-;-;1.063';2.126'
Schweiz;20230422140815;https://www.transfermarkt.ch/sandro-lauper/profil/spieler/254965;30;Sandro Lauper;Super League;BSC Young Boys;1.Liga;1,50 Mio. €Letzte Änderung: 10.11.2022;Mio. €;Letzte Änderung: 10.11.2022;3,00 Mio. €;21.01.2019;26;1,85 m;Schweiz;Innenverteidiger;rechts;Sport 11 AG;Nike;01.07.2018;30.06.2025;;;Schweiz;0;0;25;28;;5;http://www.instagram.com/sml.30/;0;;;12;2,08;1;2;-;5;2;-;-;-;-;709';709'
Schweiz;20230422140830;https://www.transfermarkt.ch/aurele-amenda/profil/spieler/635645;4;Aurèle Amenda;Super League;BSC Young Boys;1.Liga;500 Tsd. €Letzte Änderung: 28.03.2023;Tsd. €;Letzte Änderung: 28.03.2023;500 Tsd. €;28.03.2023;19;1,94 m;Schweiz;Innenverteidiger;;Signature - ISCM AG;adidas;01.01.2022;30.06.2025;;Schweiz U21;;1;0;18;21;;0;;0;;;9;1,78;-;-;-;4;-;1;-;-;-;-;521'
Schweiz;20230422140846;https://www.transfermarkt.ch/fabian-lustenberger/profil/spieler/42203;28;Fabian Lustenberger;Super League;BSC Young Boys;1.Liga;400 Tsd. €Letzte Änderung: 10.11.2022;Tsd. €;Letzte Änderung: 10.11.2022;5,00 Mio. €;12.02.2014;34;1,80 m;Schweiz;Innenverteidiger;rechts;Signature - ISCM AG;;01.07.2019;30.06.2023;;;Schweiz;3;0;57;58;;0;;0;;;20;2,25;-;-;-;4;4;3;-;-;-;-;1.464'
Schweiz;20230422140902;https://www.transfermarkt.ch/ulisses-garcia/profil/spieler/192616;21;Ulisses Garcia;Super League;BSC Young Boys;1.Liga;2,00 Mio. €Letzte Änderung: 28.03.2023;Mio. €;Letzte Änderung: 28.03.2023;3,00 Mio. €;03.01.2022;27;1,83 m;Schweiz;Linker Verteidiger;links;Soccer Mondial AG;Nike;01.07.2018;30.06.2024;;;Schweiz;4;0;61;57;;11;http://www.instagram.com/ulissesgarcia20/;0;;;19;2,00;1;6;-;2;5;4;-;1;-;1.439';1.439'
Schweiz;20230422140913;https://www.transfermarkt.ch/loris-benito/profil/spieler/119085;23;Loris Benito;Super League;BSC Young Boys;1.Liga;800 Tsd. €Letzte Änderung: 10.11.2022;Tsd. €;Letzte Änderung: 10.11.2022;4,00 Mio. €;04.06.2019;31;1,84 m;Schweiz;Linker Verteidiger;links;SBE Management AG;;04.07.2022;30.06.2025;;;Schweiz;13;1;32;32;;5;http://www.instagram.com/lorisbenito/;1;;;14;2,21;-;3;-;5;3;-;-;-;-;-;815'
