league_country;scraping_time;link;no;name;league;club;league_level;market_value;market_value_currency;market_value_latest_correction;highest_market_value;highest_market_value_date;age;height;nationality;position;foot;consultancy;supplier;club_since;contract_until;international;international_active;former_international;international_games;international_goals;starting_eleven_quote;minutes_quote;penalty_saves_quote;goal_participation_quote;instagram;injury;goals_conceded;clean_sheets;games;points_per_game;goals;assists;own_goals;ins;outs;yellow_cards;yellow_red_cards;red_cards;penalty_goals;minutes_per_goal;minutes
Portugal;20230422151818;https://www.transfermarkt.ch/odysseas-vlachodimos/profil/spieler/124419;99;Odysseas Vlachodimos;Liga Portugal;Benfica;1.Liga;16,00 Mio. €Letzte Änderung: 01.11.2022;Mio. €;Letzte Änderung: 01.11.2022;18,00 Mio. €;28.01.2021;28;1,91 m;Griechenland;Torwart;rechts;fair-sport GmbH;Uhlsport;01.07.2018;30.06.2027;;Griechenland;;31;0;100;100;0;;http://www.instagram.com/vlachod1mos/;0;17;17;28;2,54;-;;-;-;-;1;-;-;;;2.520'
Portugal;20230422151843;https://www.transfermarkt.ch/samuel-soares/profil/spieler/504072;24;Samuel Soares;Liga Sabseg;Benfica B;2.Liga;2,00 Mio. €Letzte Änderung: 28.12.2022;Mio. €;Letzte Änderung: 28.12.2022;2,00 Mio. €;01.11.2022;20;1,90 m;Portugal;Torwart;rechts;Team of Future;;01.07.2021;30.06.2027;;Portugal U21;;5;0;64;64;0;;;0;30;4;18;1,39;-;;-;-;-;4;-;-;;;1.620'
Portugal;20230422151902;https://www.transfermarkt.ch/andre-gomes/profil/spieler/670710;75;André Gomes;Liga Sabseg;Benfica B;2.Liga;2,00 Mio. €Letzte Änderung: 02.03.2023;Mio. €;Letzte Änderung: 02.03.2023;2,00 Mio. €;02.03.2023;18;1,82 m;Portugal;Torwart;links;MDTM;;01.01.2023;30.06.2028;;Portugal U19;;12;0;71;71;0;;;0;21;-;10;0,60;-;;-;-;-;-;-;-;;;900'
Portugal;20230422151925;https://www.transfermarkt.ch/antonio-silva/profil/spieler/650568;66;António Silva;Liga Portugal;Benfica;1.Liga;25,00 Mio. €Letzte Änderung: 02.03.2023;Mio. €;Letzte Änderung: 02.03.2023;25,00 Mio. €;02.03.2023;19;1,87 m;Portugal;Innenverteidiger;rechts;Gestifute;adidas;01.07.2022;30.06.2027;;Portugal;;3;0;89;89;;4;http://www.instagram.com/antoniosilva.66/;0;;;25;2,48;3;-;-;-;2;4;-;-;-;748';2.245'
Portugal;20230422151943;https://www.transfermarkt.ch/morato/profil/spieler/673492;91;Morato;Liga Portugal;Benfica;1.Liga;15,00 Mio. €Letzte Änderung: 01.11.2022;Mio. €;Letzte Änderung: 01.11.2022;15,00 Mio. €;16.09.2022;21;1,92 m;Brasilien;Innenverteidiger;links;Bertolucci Sports;;01.07.2021;30.06.2027;;;Brasilien U20;0;0;18;18;;1;http://www.instagram.com/morato/;0;;;6;3,00;1;-;-;1;-;1;-;-;-;465';465'
Portugal;20230422152002;https://www.transfermarkt.ch/lucas-verissimo/profil/spieler/411662;4;Lucas Veríssimo;Liga Portugal;Benfica;1.Liga;8,00 Mio. €Letzte Änderung: 01.11.2022;Mio. €;Letzte Änderung: 01.11.2022;10,00 Mio. €;27.12.2021;27;1,88 m;Brasilien;Innenverteidiger;rechts;Wonder Sports;Puma;31.01.2021;30.06.2026;;;Brasilien;2;0;0;0;;0;http://www.instagram.com/lucasverissimo_03/;0;;;2;3,00;-;-;-;2;-;-;-;-;-;-;9'
Portugal;20230422152017;https://www.transfermarkt.ch/nicolas-otamendi/profil/spieler/54781;30;Nicolás Otamendi;Liga Portugal;Benfica;1.Liga;3,00 Mio. €Letzte Änderung: 01.11.2022;Mio. €;Letzte Änderung: 01.11.2022;35,00 Mio. €;02.01.2018;35;1,83 m;Argentinien;Innenverteidiger;rechts;Gestifute;Nike;29.09.2020;30.06.2023;;Argentinien;;102;4;93;92;;0;http://www.instagram.com/nicolasotamendi30/?hl=it;0;;;26;2,50;-;-;-;-;1;7;1;-;-;-;2.325'
Portugal;20230422152036;https://www.transfermarkt.ch/alejandro-grimaldo/profil/spieler/193082;3;Alejandro Grimaldo;Liga Portugal;Benfica;1.Liga;25,00 Mio. €Letzte Änderung: 02.03.2023;Mio. €;Letzte Änderung: 02.03.2023;35,00 Mio. €;30.12.2019;27;1,71 m;Spanien;Linker Verteidiger;links;Wasserman;adidas;01.01.2016;30.06.2023;;;Spanien U21;2;0;96;96;;18;http://www.instagram.com/grimaldo35/;0;;;27;2,52;2;10;-;-;6;3;-;-;-;1.207';2.413'
Portugal;20230422152052;https://www.transfermarkt.ch/mihailo-risti%C4%87/profil/spieler/271455;23;Mihailo Ristić;Liga Portugal;Benfica;1.Liga;3,50 Mio. €Letzte Änderung: 01.11.2022;Mio. €;Letzte Änderung: 01.11.2022;3,50 Mio. €;23.03.2022;27;1,80 m;Serbien;Linker Verteidiger;links;AC Talent;;01.07.2022;30.06.2026;Serbien;;;8;0;4;4;;3;http://www.instagram.com/risticmihailo24/;0;;;6;3,00;1;1;-;5;-;-;-;-;-;106';106'
Portugal;20230422152111;https://www.transfermarkt.ch/alexander-bah/profil/spieler/452607;6;Alexander Bah;Liga Portugal;Benfica;1.Liga;8,00 Mio. €Letzte Änderung: 01.11.2022;Mio. €;Letzte Änderung: 01.11.2022;8,00 Mio. €;01.11.2022;25;1,83 m;Dänemark;Rechter Verteidiger;rechts;Elite Consulting;;01.07.2022;30.06.2027;;Dänemark;;8;1;71;70;;7;http://www.instagram.com/alexanderbah/;1;;;25;2,60;1;4;-;5;9;1;-;-;-;1.765';1.765'
