league_country;scraping_time;link;no;name;league;club;league_level;market_value;market_value_currency;market_value_latest_correction;highest_market_value;highest_market_value_date;age;height;nationality;position;foot;consultancy;supplier;club_since;contract_until;international;international_active;former_international;international_games;international_goals;starting_eleven_quote;minutes_quote;penalty_saves_quote;goal_participation_quote;instagram;injury;goals_conceded;clean_sheets;games;points_per_game;goals;assists;own_goals;ins;outs;yellow_cards;yellow_red_cards;red_cards;penalty_goals;minutes_per_goal;minutes
Kroatien;20230422140627;https://www.transfermarkt.ch/dominik-livakovic/profil/spieler/205927;40;Dominik Livakovic;SuperSport HNL;Dinamo Zagreb;1.Liga;14,00 Mio. €Letzte Änderung: 23.12.2022;Mio. €;Letzte Änderung: 23.12.2022;15,00 Mio. €;28.05.2021;28;1,88 m;Kroatien;Torwart;rechts;CAA Stellar;;31.08.2015;15.06.2024;;Kroatien;;43;0;100;100;100;;http://www.instagram.com/dominiklivakovic40/;0;26;7;29;2,28;-;;-;-;-;1;-;-;;;2.610'
Kroatien;20230422140643;https://www.transfermarkt.ch/ivan-nevistic/profil/spieler/293185;33;Ivan Nevistic;SuperSport HNL;Dinamo Zagreb;1.Liga;1,50 Mio. €Letzte Änderung: 08.11.2022;Mio. €;Letzte Änderung: 08.11.2022;3,00 Mio. €;28.12.2020;24;1,95 m;Kroatien;Torwart;rechts;ohne Berater;Uhlsport;28.01.2021;15.06.2025;;;Kroatien U21;1;0;0;0;0;;;0;-;-;-;-;-;;-;-;-;-;-;-;;;-
Kroatien;20230422140700;https://www.transfermarkt.ch/danijel-zagorac/profil/spieler/131310;1;Danijel Zagorac;SuperSport HNL;Dinamo Zagreb;1.Liga;200 Tsd. €Letzte Änderung: 08.11.2022;Tsd. €;Letzte Änderung: 08.11.2022;850 Tsd. €;14.09.2016;36;1,86 m;Kroatien;Torwart;rechts;MM Sports World;;11.07.2016;30.06.2026;;;;;;0;0;0;;;0;-;-;-;-;-;;-;-;-;-;-;-;;;-
Kroatien;20230422140722;https://www.transfermarkt.ch/josip-sutalo/profil/spieler/371001;37;Josip Sutalo;SuperSport HNL;Dinamo Zagreb;1.Liga;18,00 Mio. €Letzte Änderung: 08.11.2022;Mio. €;Letzte Änderung: 08.11.2022;18,00 Mio. €;08.11.2022;23;1,88 m;Kroatien;Innenverteidiger;rechts;MN Sport;;07.01.2020;15.06.2028;;Kroatien;;6;0;66;63;;3;;0;;;20;2,35;2;-;-;1;2;4;-;-;-;823';1.646'
Kroatien;20230422140737;https://www.transfermarkt.ch/dino-peric/profil/spieler/240106;55;Dino Peric;SuperSport HNL;Dinamo Zagreb;1.Liga;5,00 Mio. €Letzte Änderung: 08.11.2022;Mio. €;Letzte Änderung: 08.11.2022;6,00 Mio. €;27.12.2019;28;1,97 m;Kroatien;Innenverteidiger;links;MG MEDIATOR TRANSFER;;07.07.2017;15.06.2026;;;Kroatien;2;0;66;65;;4;;0;;;20;2,30;2;1;-;1;3;2;-;-;-;854';1.707'
Kroatien;20230422140753;https://www.transfermarkt.ch/bosko-sutalo/profil/spieler/431698;4;Bosko Sutalo;SuperSport HNL;Dinamo Zagreb;1.Liga;3,00 Mio. €Letzte Änderung: 08.11.2022;Mio. €;Letzte Änderung: 08.11.2022;3,50 Mio. €;11.02.2020;23;1,88 m;Kroatien;Innenverteidiger;rechts;PROSPORTM;;01.07.2022;30.06.2027;;;Kroatien U21;19;1;14;10;;1;http://www.instagram.com/bole_topp/;0;;;4;2,50;1;-;-;-;2;-;-;-;-;274';274'
Kroatien;20230422140808;https://www.transfermarkt.ch/mauro-perkovic/profil/spieler/676266;39;Mauro Perkovic;SuperSport HNL;Dinamo Zagreb;1.Liga;2,50 Mio. €Letzte Änderung: 08.11.2022;Mio. €;Letzte Änderung: 08.11.2022;2,50 Mio. €;08.11.2022;20;1,85 m;Kroatien;Innenverteidiger;links;LSA;;16.02.2023;15.06.2023;;Kroatien U21;;2;0;69;70;;5;;0;;;5;2,40;-;1;-;2;-;-;-;-;-;-;289'
Kroatien;20230422140827;https://www.transfermarkt.ch/kevin-theophile-catherine/profil/spieler/60603;28;Kévin Théophile-Catherine;SuperSport HNL;Dinamo Zagreb;1.Liga;1,50 Mio. €Letzte Änderung: 08.11.2022;Mio. €;Letzte Änderung: 08.11.2022;5,00 Mio. €;07.01.2013;33;1,83 m;Martinique;Innenverteidiger;rechts;;;06.07.2018;30.06.2023;;;Martinique;0;0;21;21;;1;http://www.instagram.com/kevintheophilecofficial/;0;;;6;1,67;-;1;-;-;-;-;-;-;-;-;540'
Kroatien;20230422140845;https://www.transfermarkt.ch/jakov-gurlica/profil/spieler/985061;35;Jakov Gurlica;SuperSport HNL;Dinamo Zagreb;1.Liga;;;;;;19;;Kroatien;Innenverteidiger;;GreenField;;02.01.2023;18.01.2026;;;;;;0;1;;0;;0;;;;;;;;;;;;;;;
Kroatien;20230422140921;https://www.transfermarkt.ch/robert-ljubicic/profil/spieler/353634;14;Robert Ljubicic;SuperSport HNL;Dinamo Zagreb;1.Liga;3,50 Mio. €Letzte Änderung: 08.11.2022;Mio. €;Letzte Änderung: 08.11.2022;3,50 Mio. €;08.11.2022;23;1,78 m;Kroatien;Linker Verteidiger;links;Familienangehörige;;01.07.2022;15.06.2027;;;Österreich U21;1;0;76;75;;3;;0;;;26;2,31;1;1;-;4;3;5;-;-;-;1.958';1.958'
