league_country;scraping_time;link;no;name;league;club;league_level;market_value;market_value_currency;market_value_latest_correction;highest_market_value;highest_market_value_date;age;height;nationality;position;foot;consultancy;supplier;club_since;contract_until;international;international_active;former_international;international_games;international_goals;starting_eleven_quote;minutes_quote;penalty_saves_quote;goal_participation_quote;instagram;injury;goals_conceded;clean_sheets;games;points_per_game;goals;assists;own_goals;ins;outs;yellow_cards;yellow_red_cards;red_cards;penalty_goals;minutes_per_goal;minutes
Griechenland;20230422151818;https://www.transfermarkt.ch/christos-talichmanidis/profil/spieler/540058;64;Christos Talichmanidis;Super League 1;PAOK Saloniki;1.Liga;200 Tsd. €Letzte Änderung: 27.02.2023;Tsd. €;Letzte Änderung: 27.02.2023;250 Tsd. €;27.06.2022;22;1,87 m;Griechenland;Torwart;rechts;DRANGOLD AGENCY;;01.07.2020;30.06.2023;Griechenland U21;;;1;0;0;0;0;;;0;-;-;-;-;-;;-;-;-;-;-;-;;;-
Griechenland;20230422151843;https://www.transfermarkt.ch/konstantinos-balomenos/profil/spieler/567492;54;Konstantinos Balomenos;Super League 1;PAOK Saloniki;1.Liga;125 Tsd. €Letzte Änderung: 27.02.2023;Tsd. €;Letzte Änderung: 27.02.2023;125 Tsd. €;27.02.2023;21;1,87 m;Griechenland;Torwart;rechts;Prosport International;;01.07.2022;30.06.2025;;Griechenland U21;;2;0;;;;;;0;;;;;;;;;;;;;;;
Griechenland;20230422151901;https://www.transfermarkt.ch/dimitrios-monastirlis/profil/spieler/733581;41;Dimitrios Monastirlis;Super League 2;PAOK Saloniki B;2.Liga;50 Tsd. €Letzte Änderung: 27.02.2023;Tsd. €;Letzte Änderung: 27.02.2023;50 Tsd. €;27.02.2023;19;1,92 m;Griechenland;Torwart;rechts;CAA Base Ltd;;01.07.2022;-;;Griechenld. U19;;6;0;26;26;0;;;0;;;;;;;;;;;;;;;
Griechenland;20230422151918;https://www.transfermarkt.ch/alexandros-tsioptsis/profil/spieler/814531;48;Alexandros Tsioptsis;Super League 2;PAOK Saloniki B;2.Liga;;;;;;19;1,93 m;Griechenland;Torwart;;SG Agency;;01.07.2021;30.06.2024;;;;;;0;0;0;;;0;;;;;;;;;;;;;;;
Griechenland;20230422151957;https://www.transfermarkt.ch/giannis-michailidis/profil/spieler/464528;5;Giannis Michailidis;Super League 1;PAOK Saloniki;1.Liga;2,00 Mio. €Letzte Änderung: 27.02.2023;Mio. €;Letzte Änderung: 27.02.2023;4,00 Mio. €;22.02.2022;23;1,88 m;Griechenland;Innenverteidiger;links;ROGON;;01.07.2019;30.06.2025;;;Griechenland;2;0;0;0;;0;;0;;;-;-;-;-;-;-;-;-;-;-;-;-;-
Griechenland;20230422152019;https://www.transfermarkt.ch/panagiotis-panagiotou/profil/spieler/554394;76;Panagiotis Panagiotou;Super League 1;PAOK Saloniki;1.Liga;400 Tsd. €Letzte Änderung: 27.02.2023;Tsd. €;Letzte Änderung: 27.02.2023;400 Tsd. €;27.06.2022;21;1,84 m;Griechenland;Innenverteidiger;rechts;SPORTS ACTION;;01.07.2022;31.12.2024;;Griechenland U21;;3;0;0;0;;0;;0;;;;;;;;;;;;;;;
Griechenland;20230422152038;https://www.transfermarkt.ch/raul-morichelli/profil/spieler/628560;44;Raul Morichelli;Super League 2;PAOK Saloniki B;2.Liga;250 Tsd. €Letzte Änderung: 27.02.2023;Tsd. €;Letzte Änderung: 27.02.2023;250 Tsd. €;23.06.2022;20;1,93 m;Italien;Innenverteidiger;rechts;BSM;;27.07.2022;30.06.2026;;;;;;63;63;;0;http://www.instagram.com/raulmorichelli/;0;;;13;1,85;-;-;-;1;2;5;-;-;-;-;1.084'
Griechenland;20230422152103;https://www.transfermarkt.ch/ermis-selimaj/profil/spieler/1035994;75;Ermis Selimaj;Super League 2;PAOK Saloniki B;2.Liga;25 Tsd. €Letzte Änderung: 27.02.2023;Tsd. €;Letzte Änderung: 27.02.2023;25 Tsd. €;27.02.2023;18;1,72 m;Albanien;Linker Verteidiger;links;Rosko Company;;01.07.2022;30.06.2025;;;;;;21;15;;3;;0;;;;;;;;;;;;;;;
Griechenland;20230422152127;https://www.transfermarkt.ch/alexandros-apostolopoulos/profil/spieler/188588;25;Alexandros Apostolopoulos;Super League 2;PAOK Saloniki B;2.Liga;100 Tsd. €Letzte Änderung: 27.02.2023;Tsd. €;Letzte Änderung: 27.02.2023;550 Tsd. €;10.02.2013;31;1,73 m;Griechenland;Rechter Verteidiger;rechts;BELLATORsports;;01.07.2021;-;;;Griechenland U21;9;0;;;;;;0;;;;;;;;;;;;;;;
Griechenland;20230422152146;https://www.transfermarkt.ch/lefteris-tasiouras/profil/spieler/735366;57;Lefteris Tasiouras;Super League 2;PAOK Saloniki B;2.Liga;100 Tsd. €Letzte Änderung: 27.02.2023;Tsd. €;Letzte Änderung: 27.02.2023;100 Tsd. €;27.02.2023;19;1,73 m;Griechenland;Rechter Verteidiger;rechts;PURE;;01.07.2022;31.12.2024;;Griechenld. U19;;9;0;58;57;;9;;0;;;;;;;;;;;;;;;
